State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Television,Households_with_Telephone_Mobile_Phone,Ownership_Owned_Households,Ownership_Rented_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity,sex_ratio,litracy_rate
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,1158386,782260,2082501,1140067,942434,1970527,931084,57846,3673456,334172,21345,658,290,388,267,22452,757821,6153,60812,848963,161052,1010015,419379,596134,441585,308575,169083,98227,16121,2049104,1604319,3653423,2360874,1027525,637430,27199,151754,12615,121553,362791,570261,800743,66068,25689,79590,105279,120964,541398,225428,195006,191259,35923,1068,2104,1137,3241,70,54,124,65,95,160,102,4695,98.0,47.881386459703705
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,953406,683731,1442203,837874,604329,1591085,571129,67642,2637313,342449,34301,1309,554,457,217,16688,604719,8635,47170,593653,195479,789132,324267,503713,481984,373729,201928,127493,16466,2029580,1199818,3229398,1735769,779738,509368,8413,232114,14362,119276,349304,482440,570933,90125,19664,65211,84875,96457,419073,178179,144437,140018,22798,786,1659,997,2656,84,59,143,71,102,173,116,3874,99.0,53.972356070376435
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,1160757,840262,1741693,976428,765265,1747116,863131,45124,3249231,188646,35025,937,241,250,132,14347,789225,7715,53777,833504,197433,1030937,369537,518669,471233,367424,238695,196134,27003,2188695,1294811,3483506,1932349,897137,651748,7575,286559,18927,143010,464172,588791,760789,103172,45165,120169,165334,144858,578886,270974,163054,119437,11775,968,1937,1106,3043,64,72,136,84,125,209,113,4468,98.0,57.35536109887357
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,790214,599596,1261076,684320,576756,1290259,448281,171311,2123426,391596,19653,2357,1847,542,146,11768,545913,5261,35036,565165,155133,720298,269487,421399,338668,396396,223365,141850,13382,1804547,1041862,2846409,1399773,676401,437573,37588,212631,10088,102049,308270,428744,490840,93887,23207,67384,90591,94217,379595,163189,122189,107972,12575,661,1468,931,2399,61,60,121,71,105,176,100,3458,104.0,54.47383428675576
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,1107686,796749,1700567,991842,708725,1696881,889218,42603,3150195,220654,18775,266,97,204,206,7051,763746,6151,43611,873486,214089,1087575,489805,495556,368919,249034,142026,133627,21976,1900943,1218310,3119253,1832695,917391,641707,5655,226045,9071,105940,468022,494689,717208,127205,51012,130198,181210,144923,548015,251635,151457,115932,12119,855,1845,1128,2973,91,65,156,79,114,193,127,4304,98.0,56.054868242280676
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,857824,637557,1290288,766483,523805,1412826,700833,34479,2666950,9025,18879,193,77,160,106,7724,615432,3988,32280,752752,149684,902436,291793,348354,319244,251521,146721,121213,21031,1499877,1009992,2509869,1423119,747385,528736,3874,180824,5264,64087,297418,332230,610487,68045,42847,86481,129328,118149,464451,224481,121821,85869,9675,743,1475,803,2278,58,37,95,45,64,109,76,3301,101.0,55.32067829917643
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,707503,530885,1157962,679289,478673,1186512,557254,27469,2299129,16423,17853,380,114,815,183,9577,527736,4453,24128,592458,157056,749514,250446,300057,257468,186576,115144,103591,27041,1240323,1031683,2272006,1206366,666394,451469,20245,168297,5002,61858,278230,265587,514227,68076,30854,74473,105327,104907,403386,192867,105612,80085,7807,613,1306,804,2110,45,65,110,74,114,188,81,3103,102.0,52.82157106455435
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,1179790,885233,1705655,960926,744729,1806921,758092,43550,3273755,197333,31377,1453,253,569,126,7710,828077,12952,59006,758738,288249,1046987,314252,457529,454322,430242,279234,248942,27663,2212184,1191252,3403436,1891954,941452,664872,14298,311837,15727,139404,462819,568508,761465,117060,43692,124347,168039,144960,593070,285338,162772,117016,10428,938,1936,1203,3139,135,93,228,112,162,274,185,4762,100.0,58.78941836418628
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,1379223,1273166,1773112,1199338,573774,2163854,1061787,33861,3733191,86142,109120,288,209,1578,211,6227,1017568,12050,55613,1007255,248373,1255628,595331,718960,585595,415178,215863,207586,33329,2771842,1028767,3800609,2051513,1127764,755533,2156,605463,14687,182698,648607,578252,836015,207958,70587,193110,263697,211052,724609,363280,150277,82492,4982,1011,2260,1477,3737,131,105,236,126,184,310,193,5485,100.0,67.37139716218022
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,44027,29147,62966,39329,23637,85260,4208,496,47683,2134,35969,94,50381,95,11738,132,14593,170,1486,33422,6498,39920,20425,22537,17354,10032,5641,3633,834,80456,57290,137746,96630,35018,16414,164,13306,1102,2450,9314,10621,20141,5793,1429,2130,3559,3395,13892,5197,5300,8962,2015,52,161,70,231,28,21,49,6,6,12,4,348,93.0,49.3665079000985
